City,Density,Population,Latitude,Longitude
Urgut,816542029.324263,99675,39.400700,67.260700
Shahrisabz,816491858.725661,498545,39.061800,66.831500
Namtu,816468868.868934,48591,23.083700,97.400000
Angren,816394839.969089,202070,41.030400,70.154900
Olmaliq,816325176.223276,121207,40.850400,69.595000
Guliston,816302177.170249,95520,40.495700,68.790700
Pingyi,816249675.238055,78254,35.510400,117.620000
Wuyuan,816215164.846550,30057,41.089600,108.272200
Udaipur,816167054.447899,469737,24.600000,73.730000
Yichun,816098426.279706,982000,27.833300,114.400000
Karakol,816091599.427253,70171,42.492000,78.381800
Toktogul,816054492.817141,26115,41.882600,72.937200
Jizzax,816044215.396411,235352,40.100400,67.830000
Chaghcharan,816013920.531120,15000,34.516700,65.250000
Guilin,815925312.169238,987000,25.280000,110.280000
Andkhvoy,815844885.875915,71730,36.931700,65.101500
Tarin Kowt,815806814.531220,10000,32.633300,65.866700
Samarqand,815758064.158270,708000,39.670000,66.945000
Balykchy,815704495.374927,40527,42.456000,76.185400
Atamyrat,815501587.346983,33242,37.824800,65.199700
Meymaneh,815488237.123655,199795,35.930200,64.770100
Qarshi,815381623.110482,386361,38.870400,65.800000
Cholpon Ata,815342744.546361,18595,42.651300,77.081100
Baoding,815297272.555902,1107000,38.870400,115.480000
Bilaspur,815269163.668291,543454,22.090400,82.160000
Laiwu,815205331.013472,124108,36.200400,117.660000
Shwebo,815155352.412969,88914,22.578300,95.692900
Tashkent,815046577.098263,2184000,41.311700,69.294900
Yishan,814974968.578422,47062,24.500400,108.666700
Gejiu,814963434.892443,149105,23.380000,103.150100
Chirchiq,814928683.549258,167842,41.455000,69.560000
Quetta,814916270.081922,768000,30.220000,67.025000
Datong,814881669.063149,1873000,40.080000,113.300000
Iskandar,814794924.665542,195633,41.550700,69.680700
Chaman,814755677.458125,88568,30.925000,66.446300
Mengzi,814710706.942369,303341,23.361900,103.406100
Bose,814657158.693106,175282,23.899700,106.613300
Turpan,814609661.716661,254900,42.935400,89.165000
Kattaqorgon,814581053.470480,247113,39.900700,66.260800
Anqing,814550517.286939,580497,30.500000,117.050000
Ujjain,814352460.580603,513350,23.190400,75.790000
Tokmak,814294996.112191,112860,42.829900,75.284600
Hami,814247076.976031,300848,42.827000,93.515000
Wenshan,814167208.988461,152388,23.372400,104.249700
Kandahar,814082053.511249,715542,31.610000,65.694900
Xinyu,814064781.135211,913000,27.800000,114.930000
Hohhot,813981236.211279,1726000,40.820000,111.660000
Bishkek,813925518.620232,837000,42.873100,74.585200
Sukkur,813912093.159444,417767,27.713600,68.848600
Talas,813910733.966375,35172,42.518400,72.242900
Xinyi,813860190.085362,962656,34.380000,118.350000
Kara Balta,813774046.978729,74133,42.830600,73.885700
Nanchang,813728567.511421,2350000,28.680000,115.880000
Ratlam,813720339.242361,307229,23.350400,75.030000
Linyi,813680787.299304,2082000,35.080000,118.330000
Fengzhen,813440759.014790,99174,40.454700,113.144300
Lenger,813333376.892260,23058,42.189900,69.879900
Oytal,813245656.882652,22673,42.915300,73.254900
Monywa,813217104.489480,226222,22.105000,95.150000
Almaty,813188662.521373,1209000,43.325000,76.915000
Navoi,813179817.343961,214828,40.110400,65.355000
Simao,813157635.708609,162725,22.780700,100.978200
Esik,813142896.448160,35319,43.369100,77.443800
Boralday,813138851.953114,20996,43.334100,76.828800
Cangzhou,813123391.225879,527681,38.320400,116.870000
Qulan,812974713.878127,13128,42.920400,72.705000
Wuchuan,812956693.518802,23776,41.095500,111.440800
Liuzhou,812923198.915550,1497000,24.280000,109.250000
Shonzhy,812838944.858218,3902,43.542100,79.470300
